id,text,category,topic,emotion,urgency
226,telefonumdan arama yapamıyorum yardım edin acil bir durum var,mobil_hizmetler,teknik_destek,memnun_degil,yuksek
227,tv kanallarında görüntü kalitesi düşük hd yayın almıyorum,tv_hizmetleri,teknik_destek,memnun_degil,orta
228,kurumsal hattımızı iptal etmek istiyoruz sözleşmemiz sona erdi,kurumsal_hizmetler,iptal_iade,memnun_degil,orta
229,internet modemim arızalandı yardım edin bozuldu,sabit_internet,cihaz_islemleri,memnun_degil,yuksek
230,telefonum suya düştü garanti kapsamında değiştirebilir miyim,mobil_hizmetler,cihaz_islemleri,memnun_degil,orta
231,tv kutum açılmıyor ışık yanmıyor tamamen bozuldu,tv_hizmetleri,ariza_bildirimi,memnun_degil,yuksek
232,şirketimiz için uygun fiyatlı internet paketi arıyoruz öneriniz var mı,kurumsal_hizmetler,bilgi_isteme,notr,dusuk
233,modem ışıkları düzgün yanmıyor internet kesiliyor sürekli,sabit_internet,ariza_bildirimi,memnun_degil,yuksek
234,hattımı yurt dışında kullanmak istiyorum ek paket gerekli mi,mobil_hizmetler,bilgi_isteme,notr,dusuk
235,tv kanallarının sıralamasını nasıl değiştirebilirim favori kanallarım başa gelsin,tv_hizmetleri,teknik_destek,notr,dusuk
236,şirketimize toplu hat almak istiyoruz fiyat alabilir miyiz,kurumsal_hizmetler,bilgi_isteme,notr,dusuk
237,internet faturası çok yüksek geldi normal faturanın iki katı,sabit_internet,fatura_odeme,memnun_degil,orta
238,telefonum hiç çalışmıyor acilen yardım edin açılmıyor,mobil_hizmetler,cihaz_islemleri,memnun_degil,orta
239,tv yayınında ses ve görüntü uyumsuz dublaj kayması var,tv_hizmetleri,teknik_destek,memnun_degil,orta
240,kurumsal müşteriyiz internet bağlantımız çok yavaş acil destek istiyoruz,kurumsal_hizmetler,baglanti_sorunu,memnun_degil,yuksek
241,interneti iptal etmek istiyorum taşınıyorum başka şehre,sabit_internet,iptal_iade,notr,orta
242,telefon hattımı taşımak istiyorum başka operatöre geçeceğim,mobil_hizmetler,iptal_iade,memnun_degil,orta
243,tv paketi için fazla para ödüyorum daha uygun bir paket yok mu,tv_hizmetleri,sikayet,memnun_degil,dusuk
244,şirketimizin internet bağlantısı sürekli kesiliyor iş yapamıyoruz,kurumsal_hizmetler,ariza_bildirimi,memnun_degil,yuksek
245,internet bağlantım çalışmıyor modem ışıkları yanmıyor,sabit_internet,ariza_bildirimi,memnun_degil,yuksek
246,telefonum çalındı hattımı kapattırmalıyım acil yardım,mobil_hizmetler,cihaz_kayip_calinti,memnun_degil,cok_yuksek
247,tv kumandası çalışmıyor yardım edin tuşlara basınca tepki vermiyor,tv_hizmetleri,cihaz_islemleri,memnun_degil,dusuk
248,firma adresimiz değişti faturalarımızı yeni adrese gönderin lütfen,kurumsal_hizmetler,bilgi_isteme,notr,dusuk
249,internetim çok yavaş hız testi yapmak istiyorum nasıl yapabilirim,sabit_internet,teknik_destek,memnun_degil,orta
250,telefonum garanti kapsamında mı kontrol eder misiniz 1 yıl olmadı alalı,mobil_hizmetler,cihaz_islemleri,notr,dusuk
251,tv kutum arızalandı ne yapmalıyım teknik servis ne zaman gelir,tv_hizmetleri,cihaz_islemleri,memnun_degil,orta
252,şirketimize internet bağlatmak istiyoruz en uygun fiyat nedir,kurumsal_hizmetler,bilgi_isteme,notr,dusuk
253,modem çalışmıyor ışıkları yanıp sönüyor internet yok,sabit_internet,ariza_bildirimi,memnun_degil,yuksek
254,telefonumu değiştirmek istiyorum kampanya var mı yeni model için,mobil_hizmetler,bilgi_isteme,notr,dusuk
255,tv kanallarının sesi gelmiyor görüntü var ama ses yok,tv_hizmetleri,teknik_destek,memnun_degil,yuksek
256,şirketimizin adı değişti faturaları yeni adımıza keser misiniz,kurumsal_hizmetler,bilgi_isteme,notr,dusuk
257,internet bağlantı hızım çok düşük film bile izleyemiyorum,sabit_internet,baglanti_sorunu,memnun_degil,yuksek
258,telefonumun bataryası şişti ne yapmalıyım patlama riski var,mobil_hizmetler,cihaz_islemleri,memnun_degil,orta
259,tv kutumun uzaktan kumandası kayboldu yenisini nasıl alabilirim,tv_hizmetleri,cihaz_islemleri,memnun_degil,dusuk
260,şirket internet hızımızı artırabilir misiniz çalışanlar şikayet ediyor,kurumsal_hizmetler,paket_degisikligi,memnun_degil,orta
261,modemim arızalandı internet kesiliyor hiç bağlantı yok,sabit_internet,ariza_bildirimi,memnun_degil,yuksek
262,telefonum açılmıyor tamamen kapandı hiçbir tepki vermiyor,mobil_hizmetler,cihaz_islemleri,memnun_degil,orta
263,tv kanallarını izlerken donma oluyor yayın akıcı değil,tv_hizmetleri,ariza_bildirimi,memnun_degil,yuksek
264,şirketimiz için fiber internet istiyoruz mevcut altyapıyı kullanabilir miyiz,kurumsal_hizmetler,baglanti_sorunu,notr,orta
265,internet kopuyor sürekli çok sinir bozucu online toplantılar kesiliyor,sabit_internet,sikayet,memnun_degil,yuksek
266,telefonuma spam mesajlar geliyor nasıl engellenir rahatsız oluyorum,mobil_hizmetler,teknik_destek,memnun_degil,dusuk
267,tv kumandası bozuk değiştirebilir misiniz tuşları çalışmıyor,tv_hizmetleri,cihaz_islemleri,memnun_degil,dusuk
268,kurumsal faturamızda hata var düzeltir misiniz fazla ödeme yapmışız,kurumsal_hizmetler,fatura_odeme,memnun_degil,orta
269,modem ışıkları sürekli yanıp sönüyor internet kesiliyor,sabit_internet,ariza_bildirimi,memnun_degil,yuksek
270,telefon hattımı dondurmak istiyorum uzun süre yurt dışında olacağım,mobil_hizmetler,bilgi_isteme,notr,dusuk
271,tv paketimi yükseltmek istiyorum daha fazla kanal olsun,tv_hizmetleri,paket_degisikligi,notr,dusuk
272,şirketimizin internet paketi yetersiz kaldı değiştirmek istiyoruz,kurumsal_hizmetler,paket_degisikligi,memnun_degil,orta
273,internette çok yavaşlama var video bile açamıyorum,sabit_internet,baglanti_sorunu,memnun_degil,yuksek
274,telefonumun ekranı kırıldı garanti kapsamında mı değiştirebilir misiniz,mobil_hizmetler,cihaz_islemleri,notr,dusuk
275,tv kanallarım gitti yardım edin yayın yok,tv_hizmetleri,ariza_bildirimi,memnun_degil,yuksek
276,şirketimiz için uygun internet paketi önerir misiniz karşılaştırma yapmak istiyoruz,kurumsal_hizmetler,bilgi_isteme,notr,dusuk
277,internet faturamı ödemek istiyorum online nasıl yapabilirim,sabit_internet,fatura_odeme,notr,dusuk
278,telefon hattımda sorun var arama yapamıyorum ama mesaj gönderebiliyorum,mobil_hizmetler,teknik_destek,memnun_degil,yuksek
279,tv kutum arızalandı servis gönderebilir misiniz tamamen bozuldu,tv_hizmetleri,cihaz_islemleri,memnun_degil,orta
280,şirketimizin fatura ödeme tarihini değiştirmek istiyoruz nasıl yapabiliriz,kurumsal_hizmetler,fatura_odeme,notr,dusuk
281,modem sürekli kapanıyor kendiliğinden internet kesiliyor,sabit_internet,ariza_bildirimi,memnun_degil,yuksek
282,telefonum çalındı acil hattımı kapatmanız lazım bankacılık uygulamaları vardı,mobil_hizmetler,cihaz_kayip_calinti,memnun_degil,cok_yuksek
283,tv yayını donuyor izleyemiyorum sürekli kasıyor,tv_hizmetleri,ariza_bildirimi,memnun_degil,yuksek
284,kurumsal hat almak istiyoruz şirketimiz için toplu alım yapacağız,kurumsal_hizmetler,bilgi_isteme,notr,dusuk
285,evde internet yok çalışamıyorum home office yapıyorum,sabit_internet,ariza_bildirimi,memnun_degil,yuksek
286,telefon faturamı nasıl sorgulayabilirim online sistemden görmek istiyorum,mobil_hizmetler,fatura_odeme,notr,dusuk
287,tv de bazı kanallar gelmiyor sinyal yok diyor,tv_hizmetleri,ariza_bildirimi,memnun_degil,yuksek
288,şirketimizin internet bağlantısında sorun var sürekli kesiliyor,kurumsal_hizmetler,ariza_bildirimi,memnun_degil,yuksek
289,internette geceleri yavaşlama oluyor normal mi bu durum,sabit_internet,baglanti_sorunu,memnun_degil,yuksek
290,telefonuma gelen aramalar düşüyor ulaşılamıyor diyorlar,mobil_hizmetler,teknik_destek,memnun_degil,yuksek
291,tv kurulum şifremi unuttum nasıl öğrenebilirim,tv_hizmetleri,teknik_destek,memnun_degil,orta
292,şirket çalışanlarımız için internet paketi almak istiyoruz toplu hat,kurumsal_hizmetler,paket_degisikligi,notr,dusuk
293,internet bağlantım sürekli kesiliyor düzenli olarak kopuyor,sabit_internet,ariza_bildirimi,memnun_degil,yuksek
294,telefonumun ekranı çatladı ne yapmalıyım değiştirebilir miyim,mobil_hizmetler,cihaz_islemleri,memnun_degil,dusuk
295,tv kanal listesi karıştı düzeltir misiniz sıralama bozulmuş,tv_hizmetleri,teknik_destek,memnun_degil,dusuk
296,kurumsal müşteriyiz internet hızımız yetersiz artırılması gerekiyor,kurumsal_hizmetler,baglanti_sorunu,memnun_degil,yuksek
297,internet bağlantım çok iyi teşekkür ederim hız harika,sabit_internet,teknik_destek,memnun,dusuk
298,telefon hattımı taşımak istiyorum nasıl yaparım başka operatöre,mobil_hizmetler,bilgi_isteme,notr,dusuk
299,tv paketi için nasıl başvuru yapabilirim yeni üyelik istiyorum,tv_hizmetleri,bilgi_isteme,notr,dusuk
300,şirketimize kurumsal internet bağlatmak istiyoruz fiber altyapı var mı,kurumsal_hizmetler,baglanti_sorunu,notr,orta
301,modem kurulumunu nasıl yapabilirim detaylı anlatır mısınız,sabit_internet,teknik_destek,notr,orta
302,telefon tarifemi değiştirmek istiyorum daha uygun bir paket arıyorum,mobil_hizmetler,paket_degisikligi,notr,dusuk
303,tv yayınında ses sorunu var bazen kesiliyor bazen gelmiyor,tv_hizmetleri,teknik_destek,memnun_degil,yuksek
304,şirket hattımızı nasıl iptal edebiliriz sözleşme bitiminde,kurumsal_hizmetler,iptal_iade,notr,orta
305,evde internet kesiliyor sürekli online eğitim alıyorum sorun yaşıyorum,sabit_internet,ariza_bildirimi,memnun_degil,yuksek
306,telefonumun ekranı kırıldı değiştirebilir misiniz ücret ne kadar olur,mobil_hizmetler,cihaz_islemleri,memnun_degil,orta
307,tv kutum çalışmıyor yardım edin yayın gelmiyor,tv_hizmetleri,ariza_bildirimi,memnun_degil,yuksek
308,şirketimiz için uygun fiyatlı internet arıyoruz önerileriniz neler,kurumsal_hizmetler,bilgi_isteme,notr,dusuk
309,modem ışığı kırmızı yanıyor internet yok neden böyle oluyor,sabit_internet,ariza_bildirimi,memnun_degil,yuksek
310,hat taşıma işlemi nasıl yapılır gerekli evraklar neler,mobil_hizmetler,bilgi_isteme,notr,dusuk
311,tv kanallarım neden gitmiş hiçbiri gelmiyor,tv_hizmetleri,ariza_bildirimi,memnun_degil,yuksek
312,kurumsal hat için başvuru yapmak istiyoruz nasıl ilerlemeliyiz,kurumsal_hizmetler,bilgi_isteme,notr,dusuk
313,internet bağlantı hızım düştü son günlerde çok yavaş,sabit_internet,baglanti_sorunu,memnun_degil,yuksek
314,telefonum suya düştü ne yapmalıyım açılmıyor,mobil_hizmetler,cihaz_islemleri,memnun_degil,orta
315,tv kumandası kayboldu yenisini nasıl alabilirim ücretli mi,tv_hizmetleri,cihaz_islemleri,notr,dusuk
316,firmamızın internet hızını artırabilir misiniz yetersiz kalıyor,kurumsal_hizmetler,paket_degisikligi,memnun_degil,orta
317,internette yavaşlama var nedenini öğrenebilir miyim normal değil,sabit_internet,baglanti_sorunu,memnun_degil,yuksek
318,telefon faturamı nasıl indirebilirim e-fatura olarak,mobil_hizmetler,fatura_odeme,notr,dusuk
319,tv kutum arızalandı değiştirebilir misiniz garanti kapsamında mı,tv_hizmetleri,cihaz_islemleri,memnun_degil,orta
320,şirketimize özel bir kampanya var mı uzun süreli müşteriyiz,kurumsal_hizmetler,bilgi_isteme,notr,dusuk
321,modem sürekli resetleniyor internet kesiliyor iş yapamıyorum,sabit_internet,ariza_bildirimi,memnun_degil
1,modemim bağlantı kurmuyor,sabit_internet,baglanti_sorunu,memnun_degil,yuksek
2,faturamı nasıl öderim,kategori_belirtilmemis,fatura_odeme,notr,orta
3,televizyon kanalları çekmiyor,tv_hizmetleri,ariza_bildirimi,memnun_degil,yuksek
4,yeni hat almak istiyorum,kurumsal_hizmetler,bilgi_isteme,notr,dusuk
5,telefonum çalındı,mobil_hizmetler,cihaz_kayip_calinti,memnun_degil,cok_yuksek
6,internet paketimi yükseltmek istiyorum,sabit_internet,paket_degisikligi,notr,orta
7,tv paketimi iptal etmek istiyorum,tv_hizmetleri,iptal_iade,memnun_degil,orta
8,modem arızalı internet yok,sabit_internet,ariza_bildirimi,memnun_degil,yuksek
9,faturamda hatalı ücretlendirme var,mobil_hizmetler,fatura_odeme,memnun_degil,orta
10,fatura adresimizi değiştirmek istiyoruz,kurumsal_hizmetler,bilgi_isteme,notr,dusuk
11,internet çok yavaş,sabit_internet,teknik_destek,memnun_degil,yuksek
12,sim kartımı takamıyorum,mobil_hizmetler,cihaz_islemleri,notr,orta
13,güncel kampanyalarınız neler,kategori_belirtilmemis,bilgi_isteme,notr,dusuk
14,telefonumun ekranı kırıldı,mobil_hizmetler,cihaz_islemleri,notr,dusuk
15,tv kutusu çalışmıyor,tv_hizmetleri,ariza_bildirimi,memnun_degil,yuksek
16,internet bağlantısı çok iyi,sabit_internet,teknik_destek,memnun,dusuk
17,ödeme geciktirme cezası var mı,kategori_belirtilmemis,fatura_odeme,notr,orta
18,hatlarımızı birleştirmek istiyoruz,kurumsal_hizmetler,paket_degisikligi,notr,orta
19,tv sürekli donuyor,tv_hizmetleri,teknik_destek,memnun_degil,yuksek
20,cep telefonum çalındı,mobil_hizmetler,cihaz_kayip_calinti,memnun_degil,cok_yuksek
21,internet hızım düştü,sabit_internet,baglanti_sorunu,memnun_degil,yuksek
22,ödeme yaptım sistemde görünmüyor,kategori_belirtilmemis,fatura_odeme,notr,orta
23,müşteri temsilciniz çok ilgiliydi,kategori_belirtilmemis,bilgi_isteme,memnun,dusuk
24,modem nasıl kurulur,sabit_internet,teknik_destek,notr,orta
25,kartımla ödeme yapamıyorum,kategori_belirtilmemis,fatura_odeme,memnun_degil,orta
26,internet paketi önerir misiniz,kurumsal_hizmetler,bilgi_isteme,notr,dusuk
27,hattım kopyalandı,mobil_hizmetler,cihaz_kayip_calinti,memnun_degil,cok_yuksek
28,internet sürekli kesiliyor,sabit_internet,baglanti_sorunu,memnun_degil,yuksek
29,adresimi değiştirmek istiyorum,sabit_internet,bilgi_isteme,notr,dusuk
30,tv kanalları yok,tv_hizmetleri,ariza_bildirimi,memnun_degil,yuksek
31,hizmetinizden memnunum,kategori_belirtilmemis,bilgi_isteme,memnun,dusuk
32,indirim yapabilir misiniz,kurumsal_hizmetler,bilgi_isteme,notr,dusuk
33,modem bozuldu,sabit_internet,cihaz_islemleri,memnun_degil,yuksek
34,arızayı giderdiğiniz için teşekkürler,mobil_hizmetler,cihaz_islemleri,memnun,dusuk
35,yeni tv paketi almak istiyorum,tv_hizmetleri,paket_degisikligi,notr,dusuk
36,internet bağlantımızı taşıyacağız,kurumsal_hizmetler,baglanti_sorunu,notr,orta
37,telefonum suya düştü,mobil_hizmetler,cihaz_islemleri,memnun_degil,orta
38,internet hızı arttı teşekkürler,sabit_internet,paket_degisikligi,memnun,dusuk
39,faturamı neden yüksek,kategori_belirtilmemis,fatura_odeme,memnun_degil,orta
40,internet tarifeleri nelerdir,kurumsal_hizmetler,bilgi_isteme,notr,dusuk
41,internet kesintisi ne zaman düzelecek,sabit_internet,ariza_bildirimi,memnun_degil,yuksek
42,tarifemi değiştirmek istiyorum,mobil_hizmetler,paket_degisikligi,memnun_degil,orta
43,tv bağlantısı yapamıyorum,tv_hizmetleri,teknik_destek,memnun_degil,yuksek
44,personel çok ilgiliydi,kategori_belirtilmemis,bilgi_isteme,memnun,dusuk
45,internet her gün kesiliyor,sabit_internet,sikayet,memnun_degil,yuksek
46,telefonumun şarjı çabuk bitiyor,mobil_hizmetler,cihaz_islemleri,memnun_degil,dusuk
47,tv kumandası çalışmıyor,tv_hizmetleri,cihaz_islemleri,memnun_degil,dusuk
48,paket değişikliği yapmak istiyoruz,kurumsal_hizmetler,paket_degisikligi,notr,orta
49,internet hızından memnunum,sabit_internet,teknik_destek,memnun,dusuk
50,reklam mesajlarını nasıl engellerim,mobil_hizmetler,teknik_destek,notr,dusuk
51,kanallar yok oldu,tv_hizmetleri,ariza_bildirimi,memnun_degil,yuksek
52,internet hızımız yetersiz,kurumsal_hizmetler,paket_degisikligi,memnun_degil,orta
53,modem sürekli resetleniyor,sabit_internet,ariza_bildirimi,memnun_degil,yuksek
54,hattımı taşımak istiyorum,mobil_hizmetler,iptal_iade,memnun_degil,orta
55,tv kutusunu nasıl iade ederim,tv_hizmetleri,iptal_iade,notr,dusuk
56,toplu hat almak istiyoruz,kurumsal_hizmetler,bilgi_isteme,notr,dusuk
57,modem çalışmıyor acil,sabit_internet,ariza_bildirimi,memnun_degil,yuksek
58,telefonum kayboldu,mobil_hizmetler,cihaz_kayip_calinti,memnun_degil,cok_yuksek
59,teknisyen ne zaman gelecek,tv_hizmetleri,teknik_destek,notr,orta
60,indirim istiyoruz,kurumsal_hizmetler,bilgi_isteme,notr,dusuk
61,internet paketi yavaşladı,sabit_internet,baglanti_sorunu,memnun_degil,yuksek
62,internet paketim bitti,mobil_hizmetler,paket_degisikligi,memnun_degil,orta
63,yayın kalitesi düşük,tv_hizmetleri,sikayet,memnun_degil,orta
64,hizmetiniz kötü,kurumsal_hizmetler,sikayet,memnun_degil,orta
65,internet bağlantımı iptal edeceğim,sabit_internet,iptal_iade,notr,orta
66,hat taşıma işlemi uzun sürdü,mobil_hizmetler,bilgi_isteme,memnun_degil,orta
67,tv paketimi yenilemek istiyorum,tv_hizmetleri,paket_degisikligi,notr,dusuk
68,özel kampanya var mı,kurumsal_hizmetler,bilgi_isteme,notr,dusuk
69,internet kesildi toplantım var,sabit_internet,ariza_bildirimi,memnun_degil,yuksek
70,yeni telefon almak istiyorum,mobil_hizmetler,cihaz_islemleri,notr,dusuk
71,kanallar donuyor,tv_hizmetleri,teknik_destek,memnun_degil,yuksek
72,faturamız çok yüksek gelmiş,kurumsal_hizmetler,fatura_odeme,memnun_degil,orta
73,modemi kuramadım,sabit_internet,teknik_destek,notr,orta
74,hattımı dondurmak istiyorum,mobil_hizmetler,bilgi_isteme,notr,dusuk
75,tv yayını çok iyi,tv_hizmetleri,teknik_destek,memnun,dusuk
76,fiber internet istiyoruz,kurumsal_hizmetler,baglanti_sorunu,notr,orta
77,modem ışıkları yanıp sönüyor,sabit_internet,ariza_bildirimi,memnun_degil,yuksek
78,arama yapamıyorum,mobil_hizmetler,ariza_bildirimi,memnun_degil,yuksek
79,kumandamı kaybettim,tv_hizmetleri,cihaz_islemleri,notr,dusuk
80,hatlarımız açıldı teşekkürler,kurumsal_hizmetler,bilgi_isteme,memnun,dusuk
81,internet kesildi,sabit_internet,ariza_bildirimi,memnun_degil,yuksek
82,telefonum açılmıyor,mobil_hizmetler,cihaz_islemleri,memnun_degil,orta
83,tv açılmıyor,tv_hizmetleri,ariza_bildirimi,memnun_degil,yuksek
84,internet hızını artırmak istiyoruz,kurumsal_hizmetler,paket_degisikligi,notr,orta
85,wifi şifremi unuttum,sabit_internet,teknik_destek,memnun_degil,orta
86,faturamı nasıl öderim,kategori_belirtilmemis,fatura_odeme,notr,dusuk
87,tv paketimi yükseltmek istiyorum,tv_hizmetleri,paket_degisikligi,notr,dusuk
88,indirimli paket var mı,kurumsal_hizmetler,bilgi_isteme,notr,dusuk
89,internetimi taşımak istiyorum,sabit_internet,bilgi_isteme,notr,dusuk
90,telefon ekranım kırıldı,mobil_hizmetler,cihaz_islemleri,memnun_degil,orta
91,tv kanalları çalışmıyor,tv_hizmetleri,teknik_destek,memnun_degil,yuksek
92,hat başvurusu yapmak istiyoruz,kurumsal_hizmetler,bilgi_isteme,notr,dusuk
93,internet çok yavaş,sabit_internet,sikayet,memnun_degil,yuksek
94,hattımı kapatmak istiyorum,mobil_hizmetler,iptal_iade,notr,orta
95,tv paketimi iptal edeceğim,tv_hizmetleri,iptal_iade,notr,dusuk
96,hat listesi istiyoruz,kurumsal_hizmetler,bilgi_isteme,notr,dusuk
97,internet kesildi acil,sabit_internet,ariza_bildirimi,memnun_degil,yuksek
98,telefonum şarj olmuyor,mobil_hizmetler,cihaz_islemleri,memnun_degil,dusuk
99,kanallar az,tv_hizmetleri,sikayet,memnun_degil,orta
100,ek data paketi istiyoruz,kurumsal_hizmetler,paket_degisikligi,notr,orta
101,modem resetleme işe yaramadı,sabit_internet,ariza_bildirimi,memnun_degil,yuksek
102,telefonum çalındı acil,mobil_hizmetler,cihaz_kayip_calinti,memnun_degil,cok_yuksek
103,altyazıları açamıyorum,tv_hizmetleri,teknik_destek,notr,dusuk
104,fiber altyapı var mı,kurumsal_hizmetler,baglanti_sorunu,notr,orta
105,faturamı sorgulayacağım,sabit_internet,fatura_odeme,notr,dusuk
106,sim kartım bozuldu,mobil_hizmetler,cihaz_islemleri,memnun_degil,orta
107,kumanda bozuk,tv_hizmetleri,cihaz_islemleri,memnun_degil,dusuk
108,hatlarımızı taşıyacağız,kurumsal_hizmetler,baglanti_sorunu,notr,orta
109,internet taşıma istiyorum,sabit_internet,bilgi_isteme,notr,dusuk
110,telefonum suya düştü,mobil_hizmetler,cihaz_islemleri,memnun_degil,orta
111,tv kalitesi çok iyi,tv_hizmetleri,teknik_destek,memnun,dusuk
112,daha uygun paket istiyoruz,kurumsal_hizmetler,paket_degisikligi,memnun_degil,orta
113,internet hızım düştü,sabit_internet,baglanti_sorunu,memnun_degil,yuksek
114,ödemeyi geciktirdim,kategori_belirtilmemis,fatura_odeme,notr,orta
115,tv kutusu çalışmıyor,tv_hizmetleri,ariza_bildirimi,memnun_degil,yuksek
116,hat listemizi görebilir miyiz,kurumsal_hizmetler,bilgi_isteme,notr,dusuk
117,internet yavaş,sabit_internet,baglanti_sorunu,memnun_degil,yuksek
118,arama yapamıyorum,mobil_hizmetler,teknik_destek,memnun_degil,yuksek
119,kanallar donuyor,tv_hizmetleri,ariza_bildirimi,memnun_degil,yuksek
120,toplu hat teklifi istiyoruz,kurumsal_hizmetler,bilgi_isteme,notr,dusuk
121,modem resetleniyor sürekli,sabit_internet,ariza_bildirimi,memnun_degil,yuksek
122,hat taşıma ne zaman olur,mobil_hizmetler,bilgi_isteme,notr,orta
123,teknisyen gelmedi,tv_hizmetleri,teknik_destek,memnun_degil,orta
124,tv paketi almak istiyoruz,kurumsal_hizmetler,paket_degisikligi,notr,dusuk
125,internet kesiliyor sürekli,sabit_internet,sikayet,memnun_degil,yuksek
126,şebeke çekmiyor,mobil_hizmetler,teknik_destek,memnun_degil,yuksek
127,kanallarım gitti,tv_hizmetleri,ariza_bildirimi,memnun_degil,yuksek
128,fatura bilgilerimizi güncelleyin,kurumsal_hizmetler,bilgi_isteme,notr,dusuk
129,daha hızlı paket istiyorum,sabit_internet,paket_degisikligi,notr,orta
130,ekran değişimi ne kadar,mobil_hizmetler,cihaz_islemleri,notr,dusuk
131,tv sesi yok,tv_hizmetleri,teknik_destek,memnun_degil,yuksek
132,faturamız yüksek geldi,kurumsal_hizmetler,fatura_odeme,memnun_degil,orta
133,internet hızım düştü,sabit_internet,baglanti_sorunu,memnun_degil,yuksek
134,telefonum kayboldu,mobil_hizmetler,cihaz_kayip_calinti,memnun_degil,cok_yuksek
135,yeni kumanda istiyorum,tv_hizmetleri,cihaz_islemleri,notr,dusuk
136,yeni hat istiyoruz,kurumsal_hizmetler,bilgi_isteme,notr,dusuk
137,internet bağlantısı yok,sabit_internet,ariza_bildirimi,memnun_degil,yuksek
138,sim kartım kayboldu,mobil_hizmetler,cihaz_islemleri,memnun_degil,orta
139,daha ucuz paket var mı,tv_hizmetleri,paket_degisikligi,notr,dusuk
140,hattımızı taşıyacağız,kurumsal_hizmetler,iptal_iade,memnun_degil,orta
141,internet kesildi acil,sabit_internet,ariza_bildirimi,memnun_degil,yuksek
142,hattımı iptal edeceğim,mobil_hizmetler,iptal_iade,memnun_degil,orta
143,tv yayını kesiliyor,tv_hizmetleri,ariza_bildirimi,memnun_degil,yuksek
144,en uygun paket hangisi,kurumsal_hizmetler,bilgi_isteme,notr,dusuk
145,modem şifresini unuttum,sabit_internet,teknik_destek,memnun_degil,orta
146,ödeme yaptım borç görünüyor,kategori_belirtilmemis,fatura_odeme,memnun_degil,orta
147,tv çekmiyor,tv_hizmetleri,teknik_destek,memnun_degil,yuksek
148,faturamızda hata var,kurumsal_hizmetler,fatura_odeme,memnun_degil,orta
149,modem ışıkları yanıyor,sabit_internet,teknik_destek,memnun_degil,yuksek
150,mesaj gönderemiyorum,mobil_hizmetler,teknik_destek,memnun_degil,orta
151,tv kutusu arızalı,tv_hizmetleri,ariza_bildirimi,memnun_degil,yuksek
152,sms paketi istiyoruz,kurumsal_hizmetler,paket_degisikligi,notr,dusuk
153,hız testi yapmak istiyorum,sabit_internet,teknik_destek,notr,dusuk
154,telefonum çalındı,mobil_hizmetler,cihaz_kayip_calinti,memnun_degil,cok_yuksek
155,kanal sıralaması bozulmuş,tv_hizmetleri,teknik_destek,memnun_degil,dusuk
156,tek fatura istiyoruz,kurumsal_hizmetler,fatura_odeme,notr,orta
157,internet çok iyi,sabit_internet,teknik_destek,memnun,dusuk
158,hat taşımayı iptal edin,mobil_hizmetler,iptal_iade,memnun_degil,orta
159,kumanda bozuldu,tv_hizmetleri,cihaz_islemleri,memnun_degil,dusuk
160,internet hızı yetersiz,kurumsal_hizmetler,paket_degisikligi,memnun_degil,orta
161,internet yok acil,sabit_internet,ariza_bildirimi,memnun_degil,yuksek
162,mesaj engellemek istiyorum,mobil_hizmetler,teknik_destek,memnun_degil,dusuk
163,kanallar gitmiş,tv_hizmetleri,ariza_bildirimi,memnun_degil,yuksek
164,hizmetiniz kötüleşti,kurumsal_hizmetler,sikayet,memnun_degil,orta
165,modem ışığı yanmıyor,sabit_internet,ariza_bildirimi,memnun_degil,yuksek
166,tarife değişikliği istiyorum,mobil_hizmetler,paket_degisikligi,notr,dusuk
167,tv kanallarım gitmiş,tv_hizmetleri,ariza_bildirimi,memnun_degil,yuksek
168,internet taşıma istiyoruz,kurumsal_hizmetler,baglanti_sorunu,notr,orta
169,internet yavaşladı,sabit_internet,baglanti_sorunu,memnun_degil,yuksek
170,fatura ödemesi yapacağım,mobil_hizmetler,fatura_odeme,notr,dusuk
171,tv kalitesi düşük,tv_hizmetleri,teknik_destek,memnun_degil,yuksek
172,ekonomik paket istiyoruz,kurumsal_hizmetler,paket_degisikligi,memnun_degil,orta
173,modem arızalı,sabit_internet,cihaz_islemleri,memnun_degil,yuksek
174,sim kart çalışmıyor,mobil_hizmetler,cihaz_islemleri,memnun_degil,orta
175,tv paketimi iptal edin,tv_hizmetleri,iptal_iade,memnun_degil,dusuk
176,internet hızı yetersiz kaldı,kurumsal_hizmetler,paket_degisikligi,memnun_degil,orta
177,internet bağlantım kopuyor,sabit_internet,ariza_bildirimi,memnun_degil,yuksek
178,telefon çekmiyor,mobil_hizmetler,teknik_destek,memnun_degil,yuksek
179,tv yayını kesiliyor,tv_hizmetleri,ariza_bildirimi,memnun_degil,yuksek
180,hat dökümü istiyoruz,kurumsal_hizmetler,bilgi_isteme,notr,dusuk
181,modem kurulumu nasıl yapılır,sabit_internet,teknik_destek,notr,orta
182,faturamda hatalı ücret var,mobil_hizmetler,fatura_odeme,memnun_degil,orta
183,kumanda tuşları çalışmıyor,tv_hizmetleri,cihaz_islemleri,memnun_degil,dusuk
184,paket yetersiz kaldı,kurumsal_hizmetler,paket_degisikligi,memnun_degil,orta
185,internet akşamları yavaş,sabit_internet,baglanti_sorunu,memnun_degil,yuksek
186,yurtdışında hat kullanımı,mobil_hizmetler,bilgi_isteme,notr,dusuk
